;Misurati;Rate Crescita;Denominatore 1;Previsione 1;Denominatore 2;Previsione 2;Denominatore 3;Previsione 3;Denominatore 4;Previsione 4;Denominatore 5;Previsione 5;Denominatore 6;Previsione 6;Denominatore 7;Previsione 7;Denominatore 8;Previsione 8;Denominatore 9;Previsione 9
16;12462;0,2124;8,6302;11587,2787;7,1006;11266,7321;4,8063;10402,9686;3,8906;12851,4991;5,0737;11825,6225;6,7945;14717,8010;7,8654;11442,5899;8,6302;11587,2787;14,8738;13446,4627
17;15113;0,1648;6,9258;14438,8600;5,7378;13942,5556;3,9561;12638,7843;3,2066;15592,7316;4,1411;14489,0615;5,4234;18438,6269;6,3318;14213,9861;6,9258;14438,8600;13,0276;15352,0477
18;17660;0,1869;5,6021;17850,5177;4,6795;17095,8148;3,2958;15171,0181;2,6845;18625,5106;3,4219;17534,0395;4,3767;22848,1038;5,1408;17507,0262;5,6021;17850,5177;11,4270;17502,3493
19;21157;0,1607;4,5741;21862,3160;3,8576;20738,3305;2,7829;17966,6194;2,2859;21873,1725;2,8674;20924,7212;3,5777;27950,7067;4,2158;21348,0791;4,5741;21862,3160;10,0395;19921,3410
20;24747;0,1199;3,7757;26485,0565;3,2193;24850,3423;2,3847;20967,2483;1,9816;25231,7065;2,4399;24591,3887;2,9678;33695,1748;3,4975;25732,7191;3,7757;26485,0565;8,8366;22633,1973
21;27980;0,1295;3,1557;31688,8520;2,7235;29373,5601;2,0754;24092,1126;1,7494;28581,8971;2,1102;28433,0465;2,5022;39965,3749;2,9396;30616,2976;3,1557;31688,8520;7,7937;25661,6077
22;31506;0,1016;2,6742;37395,0026;2,3385;34209,3874;1,8352;27245,6440;1,5720;31805,6987;1,8560;32326,9358;2,1467;46582,6355;2,5063;35908,8382;2,6742;37395,0026;6,8897;29028,9116
23;35713;0,1560;2,3002;43474,7279;2,0395;39224,5169;1,6486;30328,7395;1,4367;34802,2754;1,6600;36143,5125;1,8754;53322,3965;2,1699;41477,2573;2,3002;43474,7279;6,1059;32755,0547
24;41035;0,1407;2,0098;49757,3012;1,8073;44264,1555;1,5037;33250,8971;1,3334;37499,2946;1,5089;39763,2288;1,6683;59943,0312;1,9085;47156,3818;2,0098;49757,3012;5,4265;36856,3799
25;47021;0,1273;1,7842;56047,5476;1,6270;49170,4841;1,3912;35940,2027;1,2545;39857,1845;1,3924;43090,6739;1,5101;66219,5157;1,7056;52767,4829;1,7842;56047,5476;4,8374;41344,2901
26;53578;0,0927;1,6090;62149,3445;1,4869;53801,8840;1,3038;38349,0055;1,1943;41866,7888;1,3026;46062,7692;1,3894;71972,3798;1,5480;58140,2070;1,6090;62149,3445;4,3268;46223,8462
